_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
bevordering.bound10-10lex.PPMIno.LENGTHFOC.SOCPOSall	0.999731768244358	-0.5395818954640721	NA	NA	TRUE	BOW	771	no	lex	10-10	FOC	all	240	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10lex.PPMIno.LENGTHFOC.SOCPOSnav	1.0440664690709334	-0.5649604605643563	NA	NA	TRUE	BOW	771	no	lex	10-10	FOC	nav	240	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10lex.PPMIselection.LENGTH5000.SOCPOSall	0.8391469651757353	-0.20756024168744777	NA	NA	TRUE	BOW	397	selection	lex	10-10	5000	all	221	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.8850381100240283	-0.1896731041762346	NA	NA	TRUE	BOW	397	selection	lex	10-10	5000	nav	221	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.68444214488893	-0.11645867268187748	NA	NA	TRUE	BOW	397	selection	lex	10-10	FOC	all	221	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.715585383098152	-0.13871816558784464	NA	NA	TRUE	BOW	397	selection	lex	10-10	FOC	nav	221	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSall	0.7022405593902431	-0.03776015463851204	NA	NA	TRUE	BOW	397	weight	lex	10-10	5000	all	221	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSnav	0.7248880870226341	-2.234488913018792e-4	NA	NA	TRUE	BOW	397	weight	lex	10-10	5000	nav	221	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10lex.PPMIweight.LENGTHFOC.SOCPOSall	0.661272312487173	0.00599856993564605	NA	NA	TRUE	BOW	397	weight	lex	10-10	FOC	all	221	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound10-10lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.6985889554905163	0.00503268047951008	NA	NA	TRUE	BOW	397	weight	lex	10-10	FOC	nav	221	5	bevordering.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.bound3-3all.PPMIno.LENGTH5000.SOCPOSall	-0.6454870712285626	-0.3272985208370098	NA	NA	TRUE	BOW	391	no	all	3-3	5000	all	240	6	bevordering.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSall
bevordering.bound3-3all.PPMIno.LENGTH5000.SOCPOSnav	-0.8008863469590657	-0.4130920873448417	NA	NA	TRUE	BOW	391	no	all	3-3	5000	nav	240	6	bevordering.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSall
